Round,Pick,Player,Pos.,NWSL team,College,Nation,MP_x,Starts_x,Min_x,90s_x,Gls_x,Ast_x,G+A_x,season_x,Age,Born,MP_y,Starts_y,Min_y,90s_y,Gls_y,Ast_y,G+A_y,G-PK,season_y
Round 1,1,Crystal Dunn,F,Washington Spirit,North Carolina, USA,21.0,18.0,"1,488",16.5,0.0,3.0,3.0,2014,22.0,1992.0,20.0,19.0,"1,711",19.0,15.0,3.0,18.0,15.0,2015.0
Round 1,2,Kealia Watt,F,Houston Dash,North Carolina, USA,23.0,21.0,"1,817",20.2,4.0,1.0,5.0,2014,23.0,1992.0,19.0,19.0,"1,692",18.8,4.0,5.0,9.0,4.0,2015.0
Round 1,3,Julie Ertz,D,Chicago Red Stars,Santa Clara, USA,21.0,21.0,"1,890",21.0,2.0,2.0,4.0,2014,22.0,1992.0,11.0,11.0,990,11.0,0.0,2.0,2.0,0.0,2015.0
Round 1,4,Vanessa DiBernardo,M,Chicago Red Stars,Illinois, USA,23.0,19.0,"1,782",19.8,1.0,3.0,4.0,2014,22.0,1992.0,20.0,19.0,"1,733",19.3,2.0,5.0,7.0,2.0,2015.0
Round 1,5,Kassey Kallman,D,FC Kansas City,Florida State, USA,18.0,18.0,"1,479",16.4,0.0,1.0,1.0,2014,22.0,1992.0,20.0,20.0,"1,800",20.0,0.0,0.0,0.0,0.0,2015.0
Round 1,6,Maya Hayes,F,Sky Blue FC,Penn State, USA,23.0,13.0,"1,146",12.7,1.0,1.0,2.0,2014,22.0,1992.0,13.0,10.0,899,10.0,0.0,1.0,1.0,0.0,2015.0
Round 1,7,Amanda Frisbie,D,Seattle Reign FC,Portland,,,,,,,,,2014,22.0,1992.0,4.0,2.0,169,1.9,1.0,0.0,1.0,1.0,2015.0
Round 1,8,Nkem Ezurike,F,Boston Breakers,Michigan, CAN,11.0,6.0,503,5.6,2.0,0.0,2.0,2014,22.0,1992.0,12.0,3.0,417,4.6,1.0,1.0,2.0,1.0,2015.0
Round 1,9,Courtney Verloo,F,Western New York Flash,Stanford, USA,1.0,0.0,1,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,
Round 2,10,Rafaelle,F,Houston Dash,Ole Miss, BRA,16.0,6.0,507,5.6,0.0,1.0,1.0,2014,,,,,,,,,,,
Round 2,11,Marissa Diggs,D,Houston Dash,UCF, USA,13.0,11.0,"1,080",12.0,1.0,1.0,2.0,2014,,,,,,,,,,,
Round 2,12,Morgan Marlborough,F,FC Kansas City,Santa Clara, USA,9.0,2.0,247,2.7,2.0,0.0,2.0,2014,24.0,1990.0,16.0,8.0,677,7.5,3.0,0.0,3.0,3.0,2015.0
Round 2,13,Natasha Anasi,D,Boston Breakers,Duke,,,,,,,,,2014,,,,,,,,,,,
Round 2,14,Cloee Colohan,M,Western New York Flash,BYU,,,,,,,,,2014,,,,,,,,,,,
Round 2,15,Hayley Haagsma,D,Sky Blue FC,Texas Tech,,,,,,,,,2014,,,,,,,,,,,
Round 2,16,Jenna Richmond,M,FC Kansas City,UCLA, USA,22.0,20.0,"1,754",19.5,1.0,4.0,5.0,2014,,,,,,,,,,,
Round 2,17,Megan Brigman,D,Seattle Reign FC,North Carolina, USA,2.0,0.0,17,0.2,0.0,0.0,0.0,2014,,,,,,,,,,,
Round 3,19,Frances Silva,F,FC Kansas City,West Virginia, USA,18.0,5.0,568,6.3,2.0,1.0,3.0,2014,22.0,1992.0,15.0,3.0,437,4.9,0.0,3.0,3.0,0.0,2015.0
Round 3,20,Mandy Laddish,M,FC Kansas City,Notre Dame, USA,2.0,0.0,15,0.2,0.0,0.0,0.0,2014,22.0,1992.0,16.0,13.0,"1,180",13.1,1.0,3.0,4.0,1.0,2015.0
Round 3,21,Jazmine Reeves,F,Boston Breakers,Virginia Tech, USA,17.0,13.0,"1,151",12.8,7.0,1.0,8.0,2014,,,,,,,,,,,
Round 3,22,Hayley Brock,F,Chicago Red Stars,Maryland, USA,8.0,3.0,238,2.6,1.0,1.0,2.0,2014,,,,,,,,,,,
Round 3,23,Mollie Pathman,M,Boston Breakers,Duke, USA,21.0,18.0,"1,519",16.9,0.0,1.0,1.0,2014,22.0,1992.0,20.0,20.0,"1,800",20.0,0.0,0.0,0.0,0.0,2015.0
Round 3,24,Michelle Pao,M,Sky Blue FC,Pepperdine,,,,,,,,,2014,,,,,,,,,,,
Round 3,25,Emily Menges,D,Portland Thorns FC,Georgetown, USA,23.0,22.0,"1,972",21.9,0.0,0.0,0.0,2014,22.0,1992.0,17.0,17.0,"1,529",17.0,0.0,0.0,0.0,0.0,2015.0
Round 3,26,Molly Menchel,D,Washington Spirit,Virginia,,,,,,,,,2014,,,,,,,,,,,
Round 3,27,Annie Steinlage,D,Western New York Flash,Virginia,,,,,,,,,2014,,,,,,,,,,,
Round 4,28,Jordan Jackson,M,Houston Dash,Nebraska, USA,20.0,13.0,"1,206",13.4,2.0,1.0,3.0,2014,24.0,1990.0,9.0,3.0,334,3.7,0.0,0.0,0.0,0.0,2015.0
Round 4,29,Shasta Fisher,D,Washington Spirit,Virginia,,,,,,,,,2014,,,,,,,,,,,
Round 4,30,Ellen Parker,M,Seattle Reign FC,Portland,,,,,,,,,2014,,,,,,,,,,,
Round 4,31,Elisabeth Sullivan,F,Portland Thorns FC,Mississippi State, USA,1.0,0.0,1,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,
Round 4,33,Elizabeth Eddy,M,Sky Blue FC,USC,,,,,,,,,2014,23.0,1991.0,15.0,4.0,664,7.4,3.0,2.0,5.0,3.0,2015.0
Round 4,34,Kim DeCesare,F,Boston Breakers,Duke, USA,1.0,0.0,9,0.1,0.0,0.0,0.0,2014,23.0,1991.0,9.0,4.0,395,4.4,0.0,0.0,0.0,0.0,2015.0
Round 4,35,Maegan Kelly,F,FC Kansas City,Marquette,,,,,,,,,2014,,,,,,,,,,,
Round 4,36,Kristen Hamilton,F,Western New York Flash,Denver,,,,,,,,,2014,22.0,1992.0,11.0,3.0,313,3.5,0.0,0.0,0.0,,2015.0
Undrafted,Undrafted,Lindsay Elston,M,Houston Dash,Washington, USA,5.0,1.0,206,2.3,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Holly Hein,D,Houston Dash,Michigan, USA,8.0,7.0,657,7.3,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Tori McCombs,D,Houston Dash,Michigan, USA,1.0,0.0,19,0.2,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Kelly McFarlane,M,Houston Dash,North Carolina, USA,13.0,5.0,596,6.6,0.0,1.0,1.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Meg Morris,M,Sky Blue FC,North Carolina, USA,3.0,1.0,96,1.1,0.0,0.0,0.0,2014,22.0,1992.0,9.0,4.0,453,5.0,0.0,1.0,1.0,0.0,2015.0
Undrafted,Undrafted,Kecia Morway,D,Chicago Red Stars,Colorado College, USA,12.0,10.0,907,10.1,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Courtney Niemiec,D,Portland Thorns FC,La Salle, USA,11.0,10.0,824,9.2,0.0,0.0,0.0,2014,22.0,1992.0,4.0,3.0,273,3.0,0.0,0.0,0.0,0.0,2015.0
Undrafted,Undrafted,Haley Palmer,D,Western New York Flash,San Diego State, USA,7.0,5.0,357,4.0,0.0,1.0,1.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Kelsey Pardue,M,Washington Spirit,Longwood, USA,1.0,0.0,9,0.1,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Domi Richardson,D,Houston Dash,Missouri, USA,2.0,1.0,92,1.0,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Bianca Sierra,D,Washington Spirit,Auburn, MEX,11.0,9.0,798,8.9,0.0,1.0,1.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Bianca Sierra,D,Washington Spirit,Auburn, MEX,9.0,5.0,520,5.8,0.0,0.0,0.0,2014,,,,,,,,,,,
Undrafted,Undrafted,Jennifer Skogerboe,D,Washington Spirit,UConn, USA,1.0,0.0,15,0.2,0.0,0.0,0.0,2014,22.0,1992.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2015.0
Undrafted,Undrafted,Nikki Stanton,M,Sky Blue FC,Fairfield, USA,4.0,0.0,78,0.9,0.0,0.0,0.0,2014,24.0,1990.0,9.0,3.0,352,3.9,0.0,0.0,0.0,0.0,2015.0
Undrafted,Undrafted,Hanna Terry,F,Portland Thorns FC,Northeastern, USA,2.0,0.0,8,0.1,0.0,0.0,0.0,2014,24.0,1990.0,6.0,0.0,130,1.4,0.0,0.0,0.0,0.0,2015.0
